r,g,b,rgb,spanish,en_es,russian,en_ru,german,en_de,french,en_fr,chinese,en_zh,italian,en_it,korean,en_ko,japanese,en_ja,name,short_name,med_name,cx,cy
208,199,34,20819934,mostaza,mustard,__    _  _ _ _   _   ,yellow ocher,gelb,yellow,jaune fonc  ,dark yellow,     _,yellow,giallo,yellow,    _        ,yellow brown, _         _,dark yellow,dark pastel yellow,gold,ripe banana,415.2,417.94
208,21,120,20821120,rosado oscuro,dark pink,  _ ___ _   ____  __,violet,altrosa,dusky pink,ros,ros,      ,pink,fucsia,fuchsia, _       ,magenta,           _   ,dark pink,hot pants pink,pink,bright pink,497.8,226.57
208,218,10,20821810,verde amarillento,yellowish green,____    _   ____ _ _ _ _ __  __,mustard green,gelb,yellow,vert,green,     _,green,k,lake green,    _    ,yellow,     _,yellow,mustard yellow,gold,electric lime,390.86,447.09
208,223,97,20822397,verde limon,lime green,___ _ ___ ____  __,olive,helles gr _n,bright green,cr  me jaunatre,yellowish cream,     _,green,giallo,yellow-green,            ,pale gold,        _  _  _     _  _,yellow green,yellowish green,olive,bright yellow,378.15,455.07
208,232,37,20823237,verde manzana,green apple,_ _ _   __-_ _ _ _ __  __,yellow-green,dunkel gelb,dark yellow,vert,green,      ,green leaves,giallo verdastro,lime,        _   ,yellowish green,     _           _  _,lime green,sunflower yellow,green,lemon yellow,378.68,465.48
208,237,96,20823796,verde,green,_ _ ________  __,citric,vanillegelb,vanilla yellow,pistache,pistachio,      ,light green,verde,green,                ,pale green,      ,yellow-green,lemon lime green,green,yellow green,370.84,484.16
208,244,45,20824445,verde lima,lime green,    ___ _   _   _ _ __,tropical,gelb,yellow,vert clair jaune,light green yellow,           _,fluorescent yellow,giallo,yellow,        _   ,bright green,        _  _     _  _,lemon yellow,lemon lime green,lime,bright yellow,394.69,491.41
208,30,238,20830238,color violeta,violet,  _   _ ___ __  __,lilac,violetttor,violetttor,fuschia,fuschia,     _,purple,viola,violet, _   _   ,purple,   ,purple,shocking lilac,pink,puerile purple,379.3,117.71
208,82,239,20882239,p  rpura claro,light purple,  _   ,syria,helllila,light purple,violet,purple,     _,purple,viola,purple,      ,pink,   ,purple,neon pinkish purple,purple,medium purple,404.3,95.71
208,91,153,20891153,rosado,rose,  ___ ____  __,pink,rosa,pink,rose,pink, _      _,pink,rosa,pink,        _   _,light purple,     _     _,pink red,raspberry sherbet,pink,pink purple,420.94,172.91
208,93,247,20893247,lila,lilac,  _ ___ _   ____  __,violet,hellviolett,light purple,mauve pale,pale purple,   ,purple,viola,violet, _     _   _   ,medium purple,     _   ,pink,bright lavender,purple,bright purple,379.21,91.62
209,16,188,20916188,magenta tele,tv magenta,  _   _ ___ __  __,lilac,signalviolett,signal-violet,rose,pink, _      _,pink,rosa ciclamino puro,pink cyclamen pure, _   _   ,purple,        _   ,deep pink,bright hot pink,pink,medium purple,418.65,167.53
209,173,82,20917382,cafe,coffee,_ __  _   ___ __  __,brown,beige,beige,sable,sand,     _,brown,marrone,brown,      ,brown,   ,brown,mustard yellow,tan,mustard yellow,435.71,376.43
209,213,94,20921394,verde claro,light green,_   _ ______  __,cream,gelbgr _n,yellow-green,jaune fonc  ,dark yellow,        _,army green,kaki,khaki,      ,lemon,         ,pale yellow-green,greenish yellow,green,lime yellow,393.57,436.74
209,220,94,20922094,amarillo,yellow,  ___   _ __-_ _ _     __,light yellow,champagnerbeige,champagne beige,vert,green,        _,light green,limone,lemon,         _   ,bright green,            ,pale yellow-green,pea soup yellow,olive,yellow green,383.43,445.13
209,23,171,20923171,violeta,violet,    _   _   ,fuchsia,signallila,signal-purple,mauve violet,purple purple,        _ _   _    _ ,magenta (process),violet,violet,                ,dark pink,     _   ,pink,dinosaur purple,pink,light purple,429.77,190.36
209,251,25,20925125,verde lim _n,lime green,  _ _ _   ____  __,green,gr _ngelb,green yellow,vert clair,light green:,        _,green,giallo verde acido,yellow lime green,               ,bright green,           _,yellow-green,greenish yellow,lemon,lemon yellow,404.27,506.33
209,37,145,20937145,magenta,magenta,_ ___ ____  __,pink sause,magenta,magenta,rose,pink,        _,magenta,fucsia,fuchsia, _   _   ,purple,  _  _  _   ,magenta,raspberry explosion,pink,very fuschia,450.38,197.43
209,53,225,20953225,color fucsia,fuchsia,  ___ ____  __,pink,violett,violet,violet,purple,   ,purple,viola,violet,         ,pink,   ,purple,brilliant purple,pink,light purple,389.48,135.6
209,85,182,20985182,morado claro,light purple,  ___   _ __-___ _ _ ______  __,light magenta,pink,pink,violet,purple, _      _,pink and purple,violetto,violet, _   _ _       ,violet-pink,     _   ,pink,deep purple pink,pink,pinky purple,453.29,218.26
210,112,85,21011285,terracota,terracotta,_ _ _ _ ____ _ __  _   ___ __  __,pale brown,rot braun,red-brown,naranja,naranja,     _,iron color,orange,orange,      ,brown,     _,brown,light red-pink,rust,peachy peach,488.34,314.63
210,148,89,21014889,durazno,peach,_ _   __  __  __,sand,beige,beige,marron,brown,     _,brown,marrone chiaro,light brown,      ,brown,     _,brown,cinnamon mocha,tan,teddy brown,461.5,354.15
210,149,53,21014953,naranja fuerte,bright orange,  _ _ _   __ _ _     _ _ ,ripe peach,braun,brown,abricot,apricot,    _   _,orange-brown,marrone,brown,  _      ,orange,     _        _        _  _      ,dark golden rod,rusty yellow/orange,beige,pastel copper,447.25,377.11
210,16,131,21016131,rosa mexicano,hot pink,    ______-  ___ ____  __,dark pink,dunkelrosa,dark pink,rose fonce,dark pink, _      _,pink,rosso,purple,         ,hot pink,     _,pink,vibrant magenta,pink,vibrant rose,451.29,204.06
210,187,73,21018773,oro,gold.,  ___   _ __-_ __  _   ___ __  __,light-brown,vanillegelb,vanilla yellow,ocre jaune,yellow ocher,     _,yellow,marone,brown,      ,brown,     _,brown,dark golden rod,tan,baby orange,422.1,405.28
210,207,29,21020729,mostaza,mustard,_   _     __,yellow,gr _n,green,jaune,yellow,        _,green and yellow,lemon,lemon,    _    ,yellow,      ,yellow-green,mustard yellow,puce,burnt yellow,400.19,426.54
210,223,81,21022381,verde amarillento,yellowish green,___ _ ___ ____  __,olive,hell olivgr _n,light olive green,vert-jaune,green-yellow,        _,yellow-green,giallo scuro,green,    _ ,yellow,   ,yellow,greenish yellow,green,bright yellow,383.08,451.13
210,224,70,21022470,verde,green,  ___   _ __ _ _ _ _ __  __,light green,gelb,yellow,vert,green,        _,yellow-green,giallo cedro,green opaque,       _ ,yellowish,      ,yellow-green,dark lime green,lime,mustard yellow,389.72,458.97
210,227,60,21022760,verde,green,_ _ _   __-_ _ _ _ __  __,yellow-beige,gelbgr _n,yellow green,jaune citron vert,yellow lime,     _,green,giallo,yellow,             ,concentrated lemon,  _     _         ,whitish yellow-green,light lime green,lime,bright green,389.61,464.58
210,229,59,21022959,amarillo verdoso,greenish yellow,_   _     __,yellow,dunkle sonne,dark sun,jaune,yellow,     _,yellow,verde,green,               ,green light,     _,yellow,new growth green,lime,canary yellow,384.19,467.79
210,241,46,21024146,amarillo verdoso,yellow-green,  ___ ___   __  __ _ _ _     __,sunny yellow,leuchtend gelb,bright yellow,jaune claire,light yellow,        _,yellow-green,giallo verde acido,yellow lime green,    _ ,yellow,  _            ,bright yellow-green,bright greeny/yellow,lime,popsicle green,377.16,485.52
210,78,214,21078214,lavanda,lavender,___ ___ _   ____  __,violet,pink,pink,rose violine,pink purple, _      _,pink,viola,violet,      ,pink,     _      ,purple,bright magenta,pink,razzle dazzle,381.43,160.26
210,86,194,21086194,violeta,violet,  _   _ ___ __  __,lilac,lila,purple,rose,pink, _      _,pink and purple,fucsia,fuchsia,         ,pink,      ,pale purple,pink bubblegum,pink,pinky purple,427.72,165.79
21,100,115,21100115,azul aceituna,blue olive,  _ ______ _ _ _ _ ____-_____   _ ____,dark blue-green,blau,blue,id7,blue,     _,blue,blu navy,blue,         ,blue,     _           _,dark cyan,sail boat blue,greenish,deep sea teal,238.47,267.57
21,141,170,21141170,azul,blue,    ______-  _ ___ -_ _    __ ____  __,dark blue and turquoise,blau,blue,id7,blue, _    ,azure,blu,blue,      ,blue,  _  _,steel blue,medium light blue,blue,pacific blue,192.15,246.91
211,47,111,21147111,vermellon,vermillion,  ___ ____  __,pink,kaminrot,carmine red,id8-violet,red-violet, _      _,pink,j,in orchid purple,         ,hot pink,     _   ,pink,hot pink salmon,red,watermelon red,471.74,239.55
211,47,135,21147135,rosa mexicano,hot pink,  ___ ____  __,pink,pink,pink,rose,pink, _      _,pink,rosa,pink,      ,pink,     _   ,pink,raspberry pink,pink,bow tie pink,459.96,223.58
211,68,250,21168250,violeta,violet,  ___   _ __-  _ ___ _   ____  __,light purple,lila,purple,violet,purple,     _,purple,rosa,pink, _   _   ,purple,     _        _  _,reina pink,vibrant purple,pink,pretty purple,394.33,92.58
211,73,253,21173253,morado bonito,pretty purple,  _   _ ___ __  __,lilac,pink,pink,mauve clair,light purple,     _,purple,viola,purple,      ,pink,   ,purple,violent purple,pink,pretty purple,384.74,84.79
21,182,221,21182221,azul,blue,_____   _ ____,azure,hell blau,light blue,id7 ciel,blue sky,           _,aquamarine,azzurro scuro,blue,    _    ,blue,     _,azure,torquoise blue,sky,light blue,130.6,254.26
211,83,158,21183158,rosa,rose,  _ _____        _   _   ,dark fuchsia,lila,purple,rose,pink, _      _,pink,rosa,pink,         ,pink,            ,pink,rose of sharon,pink,purple pink,456.56,208.09
21,192,147,21192147,aguamarina,aquamarine,_ _ _ _ ____-_ _ _ _ __  __,pale green,aquamarin,aquamarine,vert,green,     _,green,verde acqua,green,         ,green,      ,blue green,dark green blue,teal,seafoam green,156.52,322.65
21,200,117,21200117,verde,green,_ _ _ _ __  __,green,hell gr _n,lime,vert d'eau,green water,     _,green,verde,forest green,  _   ,green,   ,green,light teal green,lime,light green,175.49,367.34
21,204,212,21204212,aguamarina,aquamarine,_ ___   _ ____,blue,t _rkis,turquoise,id7,blue,     _,blue,azzurro,blue,    _    ,sky blue,     _,light blue,swimming pool blue,aqua,cerulean blue,133.92,273.31
21,210,131,21210131,verde agua,green water,_ _ _ _ __  __,green,gr _n,green,vert,green,     _,green,verde acqua,deep blue,                ,pale green,     _              _  _,pastel green,green-turqoise,teal,light green,165.05,361.16
212,101,36,21210136,naranja,orange,_ _   _ _   __  __,brick,orange,orange,marron orange,brown orange,     _,orange,marrone,yellow-green,  _      ,orange,     _           _   ,dark orange,santa fe sunrise,orange,burned orange,476.96,325.37
212,103,25,21210325,naranja,orange,__  _ ___ _ __  __,orange,orange,orange,marron clair oranger,light brown orange,     _,orange,arancione,orange,  _      ,orange,     _,orange color,brown side of orange,orange,autumn leaves,490.83,347.3
212,144,29,21214429,color naranja claro,light orange,  ___   _ __-_ __  _   ___ __  __,light-brown,hellbraun,tan,orange,orange,      ,gold,ocra,ocher,  _   ,orange,        _   ,orange,mustard yellow,orange,lovely orange,447.9,384.08
212,148,36,21214836,amarillo ocaso,sunset yellow,  ___   _ __ _ __  _   ___ __  __,light brown,dunkelgelb,dark yellow,marron clair oranger,light brown orange,        _,khaki,castano,brown,         ,ocher,        _   ,orange,goldenrod yellow,gold,golden yarrow,441.72,380.31
212,170,15,21217015,amarillo,yellow,__    _ ____-_ _ _     __,dirty yellow,gelborange,yellow-orange,marron taupe clair,brown light taupe,     _,yellow,arancio,brown,    _    ,yellow,     _,yellow,mustard yellow,tan,mustard yellow,425.2,389.52
21,217,248,21217248,turquesa,turquoise,_ _    __ ____  __,turquoise,t _rkis,turquoise,id7,blue,        _,light blue,blu chiaro,blue,    _ ,sky,      ,pale blue,bright pastel blue,blue,standout blue,88.57,222.03
212,189,48,21218948,amarillo,yellow,____    _   _ ,mustard,gelb,yellow,jaune fonc  ,dark yellow,         ,gold rod,orzo,apricot,    _ ,yellow,     _,gold,gold-ish yellow,gold,mustard yellow,425.28,412.45
212,193,39,21219339,amarillo,yellow,_ _ _     __,yellow,gelb,yellow,bronze clair,bronze light,     _,yellow,giallo chiuso,yellow closed,    _    ,yellow,     _,yellow,mustard yellow,gold,golden wheat,426.94,418.88
212,214,66,21221466,amarillo mostaza,yellow mustard,  _ ______-_ _ _     __,tawny,senfgelb,mustard yellow,jaune,yellow,        _,yellow-green,verde,green,      ,yellow,     _,yellow,poppyseed yellow,yellow,muted yellow,402.03,433.34
212,247,45,21224745,verde chillon,bright green,_ _ _ _ ____-_ _ ________  __,green-lemon,gelbgr _n,yellow-green,jaune,yellow,   ,yellow,verde giallino,yellowish green,    _    ,yellow,     _   ,yellow,my-eyes-hurt yellow,lime,bright yellow,398.92,502.57
21,237,110,21237110,verde suave,soft green,  ___   _ __-_ _ _ _ __  __,light green,mintgr _n,mint green,vert,green,     _,green,verde chiaro,light green,  _   ,green,        _,green,construction paper green,green,charmin green,147.28,429.72
21,244,238,21244238,calipso fluo,calypso fluo,___ _ _   ___    _ _ _       ,heavenly blue,hellblau,light blue,id7,blue,     _  _,turquoise,ciano,blue,      ,blue,   ,water,fluorescent blue,blue,electro teal,81,282.16
21,248,114,21248114,verde manzana,green apple,    _ _    _ _ _ _ __  ,bright green,hellgr _n,lime,verde,verde,     _,green,verde chiaro,light green,               ,bright green,   ,green,bright sea green,mint,extreme green,136.78,434
212,52,184,21252184,rosa mexicano,hot pink,    _   _   ,fuchsia,violett,violet,mauve clair,light purple,     _,purple,viola rosso,purple,         ,pink,     _   ,pink,dragonfruit pink,pink,vivid purple,435.26,165.9
212,60,205,21260205,morado,purple,___ ___ _   ____  __,violet,lila,purple,fuschia,fuschia,     _,purple,viola,violet, _   _   ,purple,     _   ,pink,pinkish purple,pink,bright purple,396.63,151.16
212,76,150,21276150,color fucsia oscuro,dark fuchsia,__    ____-  ___ ____  __,gryano pink,altrosa,dusky pink,magenta,magenta, _      _,pink,pink,pink,      ,pink,     _   ,pink,dusty pink rose,rose,dark rose pin,463.74,215.02
213,136,39,21313639,marr  n,brown,_ _   __  __  __,sand,braunorange,orange-brown,marron clair,light brown, _      _,dark orange,marrone,brown,       _    _      ,dark orange,        _   ,orange,light rusty orange,gold,golden brown,457.84,368.55
213,181,79,21318179,amarillo colza,canary yellow,_ _ _   __-_ __  _   ___ __  __,yellow-brown,babybraun,baby brown,bois de ch  ne clair,light oak,     _,brown,giallo ocra,brown, _          ,beige,     _        _  _     _  _,golden yellow,mustard yellow,tan,baby orange,431.79,387.67
213,186,74,21318674,amarillo cromo,chrome yellow,__  _   ____  __,hazel,ockergelb,yellow ocher,or delav  ,gold washed,        _,light brown,oro,gold,    _ ,yellow,  _           _,light brown,light golden rod,gold,baby orange,427.6,404.28
213,187,56,21318756,palo de rosa,rosewood,_ _ _ _ ____-_ _ _   __-  _ _ _   __  __,pale-yellow tobacco,gelb,yellow,amarillo,amarillo,     _,yellow,giallo ocra,yellow ocher,    _    ,yellow,           _,dark yellow,vanilla caramel,wheat,bright yellow,431.29,411.88
213,222,90,21322290,siena,siena,  ___   _ __ _ _ _     __ _ _ _ _ __  __,a light yellow green,lime,lime,vert jaune,yellow green,        _,army green,verde,green,  _   ,green,     _           _  _,light green,lemonade yellow,kale,lemon yellow,389.4,453.22
213,32,154,21332154,fiusha,fiusha,  ___ ____  __,pink,lila,purple,fuschia,fuschia,        _,purple,fucsia scuro,dark pink,         ,pink,     _   ,pink,innocent romance,pink,hot dark pink,441.79,196.83
213,38,181,21338181,fusha intenso,intense fusha,    _ _        _   _   ,bright fuchsia,leuchtend violett,bright purple,rose violet 6,pink purple 6, _      _,pink,viola,violet, _   _   ,purple,     _   ,pink,bright neon pink,pink,pinkish purple,438.99,178.52
213,43,158,21343158,magenta,magenta,    _   _   ,fuchsia,pink,pink,rose fonc  ,dark pink,      ,magenta,rosa,pink,         ,hot pink,     _   ,pink,wild weed pink,rose,bright pink,443.97,152.87
213,47,242,21347242,morado,purple,___ _ _ _ __  _ ,magenta,pink,pink,rose fushia,fuchsia pink,     _,purple,viola,violet, _   _   ,purple,  _         ,bright purple,pinkish purple,pink,hot lips pink,404.11,103.2
213,52,195,21352195,rosado morado neon,purple neon pink,  ___ ____  __,pink,pink,pink,violet,purple,     _  _,iris color,violetto,violet,         ,pink,  _         ,bright purple,bright magenta,pink,pinkly smooth,418.59,161.59
214,114,19,21411419,naranja,orange,__  _ ___ _ __  __,orange,dunkles orange,dark orange,orange,orange,   ,orange,arancione profondo,deep orange,      ,brown,        _   ,orange,toasted orange,orange,pumpkin latte,461.92,362.08
